,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
318,1.75,2,1350,9,1995,379950,26.0,23.0
319,4.0,4,3821,,1995,875000,0.0,0.0
320,1.75,2,1125,,1996,320000,21.0,52.0
321,2.0,3,1500,,1963,449950,12.0,1.0
322,,,,,,815000,42.0,6.0
323,1.0,2,940,,1974,147900,0.0,0.0
324,3.5,4,3460,,2003,1035000,0.0,37.0
325,2.0,3,1530,,1980,399900,17.0,46.0
326,2.5,4,2260,,1987,800000,26.0,23.0
327,1.5,2,1050,,2005,385000,0.0,43.0
328,3.25,5,3330,,2006,868000,0.0,27.0
329,2.5,4,2310,11,2000,689000,18.0,52.0
330,3.5,5,3890,,1990,889500,31.0,14.0
331,3.5,5,3890,17,1989,1050000,24.0,35.0
333,1.0,3,1210,,1958,349000,0.0,0.0
334,2.0,3,2350,,1984,,42.0,18.0
335,2.0,2,874,7,1994,220000,32.0,0.0
336,2.0,3,1550,,1965,425000,0.0,31.0
337,2.5,2,1065,,2000,349000,33.0,30.0
338,2.25,3,1830,,1986,500000,30.0,15.0
339,4.0,4,3500,,1971,,0.0,1.0
340,2.5,3,1745,,1991,522000,18.0,32.0
341,1.0,2,1162,,1972,,0.0,0.0
342,2.5,3,1800,,2013,745995,0.0,68.0
343,4.0,5,4400,,1991,1300000,23.0,2.0
344,2.5,4,1785,,2011,600000,40.0,51.0
345,2.0,3,2000,,1985,,0.0,2.0
346,3.25,4,3140,,2013,950000,0.0,67.0
347,1.0,2,1007,,2008,259000,35.0,65.0
348,2.0,2,959,,1985,,0.0,0.0
349,2.5,4,2180,,1982,,0.0,0.0
350,2.0,3,1730,8,1984,600000,42.0,34.0
351,1.0,3,940,,1961,435000,21.0,1.0
352,2.5,3,2126,,2006,645000,0.0,43.0
353,3.0,5,3503,13,2007,855000,0.0,6.0
354,3.0,4,3060,,1990,,0.0,0.0
355,4.0,4,3129,,2013,1100000,0.0,68.0
356,3.5,3,3170,14,1997,1000000,0.0,0.0
357,2.5,3,2075,,1989,700000,23.0,28.0
358,3.75,4,3328,8,1925,780000,44.0,45.0
359,3.5,3,3123,11,2003,780000,34.0,66.0
360,2.0,2,1810,5,1986,699000,42.0,81.0
361,2.5,4,2990,,1987,,25.0,32.0
362,3.0,3,1420,,2003,,0.0,48.0
363,4.5,4,3800,,2006,855000,0.0,7.0
364,2.0,3,1020,,1995,,22.0,18.0
365,2.5,3,1595,,2012,450000,0.0,67.0
366,3.0,3,1160,,2004,,0.0,50.0
367,1.0,4,2150,,1924,,41.0,65.0
368,1.0,2,920,3,1987,289000,22.0,52.0
369,,1,720,,1997,347000,57.0,57.0
370,1.0,2,900,,1967,350000,66.0,75.0
371,2.75,2,1878,,2009,1349000,100.0,99.0
372,1.75,2,1068,,2001,700000,96.0,96.0
373,1.5,3,1720,,1905,700000,64.0,90.0
374,2.5,4,2480,,1951,829000,57.0,51.0
375,2.0,2,1240,,,695800,100.0,98.0
376,4.0,5,3581,9,1910,1800000,58.0,85.0
377,3.0,3,2610,7,2001,1210000,57.0,65.0
378,2.0,3,1550,,2004,465000,54.0,71.0
379,2.0,3,1609,7,1922,1300000,77.0,88.0
380,1.0,1,466,,1926,,74.0,93.0
381,,1,390,,2007,179000,72.0,66.0
382,1.25,2,1100,,2007,974000,66.0,54.0
384,2.5,2,1359,,2005,,58.0,82.0
385,2.0,3,2000,,1922,700000,54.0,79.0
386,1.0,2,900,,1967,450000,66.0,75.0
387,2.5,3,1980,6,2004,639000,63.0,80.0
388,2.0,3,1350,,1908,595000,68.0,77.0
389,1.0,1,762,,2003,,71.0,65.0
390,1.75,3,1910,,1949,825000,46.0,78.0
391,2.0,2,1431,,1977,,65.0,73.0
392,1.0,1,702,,2008,425000,67.0,64.0
393,1.5,1,987,,2008,500000,90.0,96.0
394,1.0,1,650,4,1907,339000,80.0,94.0
395,3.0,3,1710,,2008,750000,70.0,65.0
396,1.0,1,572,,1957,349000,100.0,96.0
397,2.0,2,895,,1969,459950,68.0,93.0
398,2.5,3,1140,,2009,425000,47.0,63.0
399,1.75,3,2720,13,1956,950000,32.0,35.0
400,3.0,2,1416,6,2010,500000,35.0,57.0
401,1.0,2,1400,,1945,,33.0,44.0
402,6.75,7,4990,,1930,,32.0,51.0
403,3.5,3,5280,9,2005,1980000,31.0,28.0
404,1.0,2,760,5,1942,397000,48.0,59.0
405,2.75,5,3620,15,1936,1650000,31.0,34.0
406,1.0,1,610,,1953,400000,46.0,66.0
407,2.75,3,3030,9,1924,895000,41.0,59.0
408,1.75,4,1590,,1925,700000,49.0,60.0
