,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
326,3.5,3,1844,9,2008,1995000,85,96
329,2.5,3,2073,9,1909,1995000,61,82
331,1.0,2,904,,1927,1350000,76,94
332,1.0,2,934,,1905,1299000,80,97
333,1.5,3,1421,6,1892,1899000,98,97
334,4.0,4,3100,8,1888,2400000,99,99
335,3.0,3,1948,9,1910,1700000,91,97
336,2.0,3,2000,14,1870,2295000,92,94
338,2.0,3,1450,7,1940,1850000,81,87
339,2.0,4,2064,9,1883,3000000,94,98
340,1.0,2,866,5,1900,1050000,80,96
342,4.0,5,4287,15,1898,4900000,100,96
343,1.5,2,1595,5,1947,1603000,83,90
344,2.0,5,2316,9,1893,1999999,99,98
345,1.0,1,657,3,1912,690000,93,92
346,4.0,4,2474,,1902,799000,100,97
347,,,,,2015,1890000,99,94
348,2.5,2,1031,,,950000,97,98
349,3.0,6,3810,,1913,2375000,99,99
350,1.0,3,3525,18,1911,,95,98
351,1.5,2,693,4,1922,249000,50,79
352,2.0,3,2122,7,1938,600000,50,63
353,,,2708,13,1950,,55,82
354,1.5,3,1254,5,1984,329000,58,72
355,2.0,2,1378,6,1925,299000,57,69
356,1.0,3,910,5,1926,529000,39,28
357,1.0,3,1128,6,1952,,38,30
358,1.0,1,,2,1923,875000,55,83
359,1.0,1,860,,,569000,65,87
360,1.0,4,1588,9,1908,702800,55,80
361,3.0,3,1170,8,1917,500000,73,95
362,3.0,5,2500,8,1940,599500,54,68
363,3.0,4,2334,9,1908,,62,83
364,1.0,2,1181,6,1925,,56,69
365,1.0,2,920,5,1924,695000,65,83
366,1.0,2,996,5,1918,449000,57,84
367,6.0,11,4325,18,1970,798000,71,91
368,1.5,2,1070,4,1984,255000,47,66
369,1.0,2,1008,5,1926,279000,58,84
370,1.5,1,1716,,1905,525000,61,76
371,1.0,2,760,5,1915,229000,51,77
372,3.0,5,2094,8,1914,1700000,58,89
373,1.0,1,666,,2001,469000,79,89
374,2.0,3,1716,6,1964,699000,19,8
375,1.5,1,1500,,2005,599000,68,83
377,1.0,2,870,6,1913,270000,56,72
378,2.0,3,1111,5,1942,337700,39,65
379,1.0,1,777,,1971,386000,71,89
380,2.0,3,1885,8,1948,675000,38,65
381,2.0,3,1802,7,1926,436000,53,53
382,1.0,2,999,3,1959,550000,83,97
383,1.5,2,1500,6,1940,648000,39,38
384,2.0,2,1149,5,1984,525000,32,20
385,5.0,4,2126,12,1908,488000,55,85
386,2.0,3,1666,6,1922,385000,54,61
387,2.0,3,1605,6,1922,1200000,65,71
388,1.0,1,752,3,2007,,83,98
389,5.0,8,3800,15,1910,650000,53,70
390,2.0,2,1301,5,2002,,53,74
391,3.0,7,2903,16,1952,888888,55,73
392,1.0,3,1178,6,1924,318000,60,77
393,4.0,4,,,1920,505000,69,89
394,3.0,3,1800,7,1963,699000,45,34
395,1.0,2,983,4,1928,,55,57
396,4.0,6,2669,18,1912,599950,56,58
397,1.0,2,1801,6,1923,589000,55,76
398,1.0,1,1158,5,2009,524000,56,60
399,1.0,2,1074,6,1926,269000,58,84
400,2.0,4,2185,8,1918,1195000,46,69
401,1.0,2,1071,5,1925,475000,56,56
402,1.0,1,773,3,1996,400000,17,3
403,2.5,3,1599,7,2000,549000,49,49
404,1.0,2,824,5,1922,308000,57,74
405,,,,,,600000,64,76
406,6.0,9,4390,20,1923,2200000,54,87
407,1.0,2,1254,6,1909,289000,52,73
408,3.5,4,2832,8,1923,1395000,46,48
409,1.0,2,950,4,1987,,55,66
410,1.0,2,870,5,1926,405000,53,70
411,2.5,4,2346,9,1953,739000,28,57
412,1.0,2,880,5,1925,320000,55,75
414,2.5,3,2200,8,1959,1095000,0,1
415,1.0,3,1195,6,1945,,56,66
